Показатель	Страна	Год	Краткий обзор стран
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2016	20072
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2017	21462
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2018	23001
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2019	24400
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2020	24786
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2021	27920
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	1991	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	1992	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	1993	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	1994	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	1995	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	1996	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	1997	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	1998	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	1999	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2000	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2001	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2002	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2003	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2004	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2005	6365
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2006	7273
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2007	8031
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2008	8828
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2009	8789
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2010	9031
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2011	9527
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2012	9698
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2013	10210
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2014	10430
